IDYLIS OF THE KING AND CAMELOT,ALAN JAY LERNER,,CLASSIC FICTION,11/9/16,2/4/17,,,,,
BRAVE NEW WORLD,ALDOUS HUXLEY,,CLASSIC FICTION,11/9/16,2/4/17,,IDYLIS OF THE KING AND CAMELOT,,,3010
EMMA: A MODERN RETELLING,ALEXANDER MCCALL SMITH,,CLASSIC FICTION,10/14/17,10/13/18,,BRAVE NEW WORLD,,,
THE THREE MUSKETEERS,ALEXANDRE DUMAS,,CLASSIC FICTION,10/31/15,9/17/16,,EMMA: A MODERN RETELLING,,,
THE THREE MUSKETEERS,ALEXANDRE DUMAS,,CLASSIC FICTION,4/20/19,4/20/19,,THE THREE MUSKETEERS,,,
THE REPUBLIC OF PLATO,ALLAN BLOOM,,CLASSIC FICTION,12/8/18,12/8/18,,THE REPUBLIC OF PLATO,,,
THE REPUBLIC OF PLATO,ALLAN BLOOM,,CLASSIC FICTION,4/21/18,4/21/18,,UNDER A GLASS BELL,,,
UNDER A GLASS BELL,ANAIS NIN,,CLASSIC FICTION,11/9/19,,,GREAT EXPECTATIONS,,,
GREAT EXPECTATIONS,CHARLES DICKENS,,CLASSIC FICTION,10/14/17,12/2/17,,OLIVER TWIST,,,
GREAT EXPECTATIONS,CHARLES DICKENS,,CLASSIC FICTION,11/7/15,2/10/18,,JANE EYRE,,,
GREAT EXPECTATIONS,CHARLES DICKENS,,CLASSIC FICTION,4/2/15,9/19/15,,THINGS FALL APART,,,
OLIVER TWIST,CHARLES DICKENS,,CLASSIC FICTION,10/31/15,4/22/17,,GREAT AMERICAN SHORT STORIES FROM HAWTHORNE TO HEMINGWAY,,,
JANE EYRE,CHARLOTTE BRONTE,MEG CABOT,CLASSIC FICTION,4/3/16,4/22/17,,THE PORTABLE D. H. LAWRENCE,,,
THINGS FALL APART,CHINUA ACHEBE,,CLASSIC FICTION,10/31/15,12/6/15,,MOLL FLANDERS,,,
GREAT AMERICAN SHORT STORIES FROM HAWTHORNE TO HEMINGWAY,CORINNE DEMAS,,CLASSIC FICTION,10/14/17,12/2/17,,PROOF,,,
THE PORTABLE D. H. LAWRENCE,D. H. LAWRENCE,DIANA TRILLING,CLASSIC FICTION,4/3/16,,,HOWARDS END,,,
MOLL FLANDERS,DANIEL DEFOE,,CLASSIC FICTION,10/31/15,3/30/19,,MYTHOLOGY: TIMELESS TALES OF GODS AND HEROES,,,
MOLL FLANDERS,DANIEL DEFOE,,CLASSIC FICTION,10/31/19,,,WUTHERING HEIGHTS,,,
PROOF,DAVID AUBURN,,CLASSIC FICTION,4/3/16,9/17/16,,A FAREWELL TO ARMS,,,
HOWARDS END,E. M. FORSTER,,CLASSIC FICTION,10/13/18,,,FOR WHOM THE BELL TOLLS,,,
HOWARDS END,E. M. FORSTER,,CLASSIC FICTION,11/9/16,,,IN OUR TIME,,,
MYTHOLOGY: TIMELESS TALES OF GODS AND HEROES,EDITH HAMILTON,,CLASSIC FICTION,10/31/15,11/7/15,,THE NICK ADAMS STORIES,,,
WUTHERING HEIGHTS,EMILY BRONTE,,CLASSIC FICTION,10/31/15,12/6/15,,THE OLD MAN AND THE SEA,,,
A FAREWELL TO ARMS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,THE SUN ALSO RISES,,,
A FAREWELL TO ARMS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,"ALCESTIS, MEDEA, THE CHILDREN OF HERACLES, HIPPOLYTUS",,,
A FAREWELL TO ARMS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,THE TROJAN WOMEN AND OTHER PLAYS,,,
A FAREWELL TO ARMS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,THE GREAT GATSBY,,,
A FAREWELL TO ARMS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,THIS SIDE OF PARADISE,,,
A FAREWELL TO ARMS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,THE METAMORPHOSIS,,,
A FAREWELL TO ARMS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,1/25/20,,THE IDIOT,,,
A FAREWELL TO ARMS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,1/25/20,,ONE HUNDRED YEARS OF SOLITUDE,,,
A FAREWELL TO ARMS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,11/9/19,,ANIMAL FARM,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,MOBY DICK,,,
FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY,,CLASSIC FICTION,9/14/19,,,THE ILLIAD,,,
